wallet_address,account_age_days,total_transactions,total_volume,current_balance,average_balance,balance_stability_score,transaction_frequency_score,asset_diversity_score,dapp_usage_score,unique_counterparties,avg_transaction_size,risk_category,credit_score
SYNTH_LOW_RISK_16949,1694,459,363444.8248491646,52944,57284.69817838208,91.61453373192904,95.65022925969433,60,60,15,144.2615803814714,low_risk,781
SYNTH_LOW_RISK_15569,1223,474,293603.0069052941,63413,68488.60902487191,98.51995126663125,100.0,100,45,48,155.8058968058968,low_risk,824
SYNTH_LOW_RISK_67108,475,374,114667.5539836083,34214,29668.81391578366,81.60593789539581,100.0,20,90,22,98.316091954023,low_risk,850
SYNTH_LOW_RISK_89104,1793,523,72006.79300531287,26907,28477.47681554812,74.08200736270862,100.0,60,75,15,63.31058823529412,low_risk,825
SYNTH_LOW_RISK_44674,667,262,39614.32731237765,10055,8662.844412317616,96.68091357200156,100.0,80,75,37,44.491150442477874,low_risk,827
SYNTH_LOW_RISK_83479,392,322,74030.03982573854,11062,11489.824238431276,90.08495869387355,100.0,40,90,42,36.75083056478405,low_risk,815
SYNTH_LOW_RISK_37139,789,243,642710.1061535983,72981,54935.17603593854,99.58295870931038,100.0,60,30,30,364.905,low_risk,850
SYNTH_LOW_RISK_23234,1187,301,197432.58808233732,23046,26066.73975821953,84.87749942786121,88.198301893951,0,75,11,97.65254237288136,low_risk,836
SYNTH_LOW_RISK_69383,1780,222,173798.4884202335,56514,41708.743848778795,98.27845817466628,48.10327458763767,60,100,44,452.112,low_risk,819
SYNTH_LOW_RISK_15415,1262,181,118822.37177067819,15287,11142.033693367404,100.0,52.64443914061377,80,100,29,136.49107142857142,low_risk,850
SYNTH_LOW_RISK_19184,1237,395,156325.64036347583,40523,50238.176259683205,88.09408146724319,100.0,60,100,2,123.54573170731707,low_risk,850
SYNTH_LOW_RISK_53872,1185,267,39577.4153517714,14018,14324.83735106663,89.52967943284753,79.34733996584542,80,100,47,69.05418719211822,low_risk,850
SYNTH_LOW_RISK_81315,592,496,282765.560139622,81895,101965.03523225049,100.0,100.0,80,30,38,176.49784482758622,low_risk,843
SYNTH_LOW_RISK_70279,1522,382,142666.32399615124,65318,71250.20209239816,99.44874421905018,88.67578598401099,60,60,49,218.45484949832775,low_risk,850
SYNTH_LOW_RISK_49224,968,439,132767.17385078396,65176,58664.885208485204,94.14291937693183,100.0,80,100,25,168.84974093264248,low_risk,818
SYNTH_LOW_RISK_47148,439,417,123438.7182649217,18577,20051.244206008672,92.33162372741525,100.0,60,60,28,47.26972010178117,low_risk,846
SYNTH_LOW_RISK_96444,1437,514,282039.7790886578,56163,67504.49376536238,86.00289847059993,100.0,60,75,19,128.81422018348624,low_risk,844
SYNTH_LOW_RISK_62603,382,376,622691.126579019,74077,95363.68237367414,98.83076643641596,100.0,100,45,32,208.0814606741573,low_risk,850
SYNTH_LOW_RISK_57057,1566,575,191978.7800705088,91244,68552.08423357105,91.24195124488456,100.0,40,100,23,186.21224489795918,low_risk,844
SYNTH_LOW_RISK_27771,1473,326,93873.71371103301,30079,36728.888948219996,84.52585634420295,79.05163384837628,100,90,46,122.27235772357723,low_risk,837
SYNTH_LOW_RISK_67384,492,349,259595.99411961436,61920,63932.821149466756,94.29526948945428,100.0,80,100,25,191.70278637770897,low_risk,850
SYNTH_LOW_RISK_45737,1362,551,462836.1834676063,88411,102781.92745457753,85.70268950488364,100.0,0,90,46,185.34800838574424,low_risk,850
SYNTH_LOW_RISK_77298,494,436,621036.7155300024,71120,85901.91574595078,85.517102359523,100.0,60,100,45,173.8875305623472,low_risk,850
SYNTH_LOW_RISK_95469,846,346,87645.99317075551,42921,32699.632003593564,95.73060407326454,100.0,60,45,37,143.07,low_risk,847
SYNTH_LOW_RISK_37935,1432,482,349908.69437110476,45772,57450.67959084992,90.21794364927337,100.0,40,100,23,113.29702970297029,low_risk,850
SYNTH_LOW_RISK_88945,1345,258,838173.5863253126,92310,93986.26463611658,76.69883445045072,69.04808082894378,100,45,26,498.97297297297297,low_risk,850
SYNTH_LOW_RISK_39430,547,492,177665.97954074954,50998,47447.434274875704,82.8286537139987,100.0,100,15,32,110.14686825053995,low_risk,808
SYNTH_LOW_RISK_20816,1427,479,103116.3368884472,26371,20207.687702432802,91.77172957777256,100.0,20,60,14,65.76309226932668,low_risk,850
SYNTH_LOW_RISK_53001,740,297,375607.75697076577,44801,38322.30906464771,90.1645368790241,100.0,20,45,6,174.3229571984436,low_risk,800
SYNTH_LOW_RISK_91412,1171,482,97911.2103370476,39757,50947.06795990495,96.96038049024975,100.0,40,90,49,95.11244019138756,low_risk,795
SYNTH_LOW_RISK_53642,1487,200,85913.06982031607,28297,34897.242649631466,97.17287490827462,50.52459447977083,100,75,25,237.78991596638656,low_risk,850
SYNTH_LOW_RISK_51873,1102,491,103794.9063508203,39192,32612.052030490202,82.40538055461163,100.0,60,0,13,90.93271461716937,low_risk,762
SYNTH_LOW_RISK_64302,1160,243,167965.11763217527,19516,15170.214600167054,80.4082336373988,74.03756526439705,100,100,43,108.42222222222222,low_risk,850
SYNTH_LOW_RISK_80981,446,479,251076.5263255052,58845,41842.12746549024,95.91667317553161,100.0,40,60,41,129.32967032967034,low_risk,820
SYNTH_LOW_RISK_77889,1612,506,113448.77313922919,11435,12642.894536558322,98.07474981897191,100.0,80,60,12,27.35645933014354,low_risk,850
SYNTH_LOW_RISK_39241,1127,387,63112.827704869764,31427,24995.872057123175,95.2128445648453,100.0,0,30,34,96.40184049079754,low_risk,765
SYNTH_LOW_RISK_49214,1673,194,130130.69658801326,24288,26306.710930119185,76.20395875643388,44.83481249694306,100,45,6,235.80582524271844,low_risk,850
SYNTH_LOW_RISK_31563,1775,453,79638.45369940992,22857,27912.371849976837,94.35955056331933,90.75950007471378,20,45,8,64.20505617977528,low_risk,850
SYNTH_LOW_RISK_18712,955,178,344391.9136831782,95553,95071.10023487071,90.47093449855187,65.51808086166452,40,75,22,758.3571428571429,low_risk,850
SYNTH_LOW_RISK_84319,1378,291,378569.6607516487,64615,53385.542863874616,86.7107345295059,75.40844245110918,60,100,33,299.14351851851853,low_risk,848
SYNTH_LOW_RISK_61047,1078,400,521100.43221772043,73483,82586.47348566217,76.77190548729,100.0,40,100,6,215.4926686217009,low_risk,832
SYNTH_LOW_RISK_25313,373,381,89418.64243936124,36015,30550.153783725254,87.75978464670587,100.0,100,60,13,99.7645429362881,low_risk,824
SYNTH_LOW_RISK_12920,1689,434,218493.66188056572,36745,27518.91451516235,84.89362018874597,91.12273370784129,80,15,35,107.44152046783626,low_risk,827
SYNTH_LOW_RISK_14703,809,236,176387.82295337514,26309,18880.30308404477,84.79798161611336,98.53931183052116,100,45,34,137.02604166666666,low_risk,847
SYNTH_LOW_RISK_74324,942,485,91953.64448066778,36017,34659.13148540939,92.02590957402747,100.0,80,100,47,82.98847926267281,low_risk,834
SYNTH_LOW_RISK_96475,378,350,173873.39660185532,57064,73149.92086981724,95.62435464369081,100.0,40,30,47,172.9212121212121,low_risk,824
SYNTH_LOW_RISK_65204,651,529,302070.0468547074,62233,63484.32858830557,82.38580485760819,100.0,40,75,49,125.97773279352226,low_risk,850
SYNTH_LOW_RISK_96213,520,494,265842.772696137,77278,58200.639062562186,94.26846746596804,100.0,20,45,33,165.83261802575106,low_risk,752
SYNTH_LOW_RISK_88131,1373,353,336024.71614499396,43997,36126.46779983201,97.51691519455817,90.08938332750428,60,90,8,158.26258992805757,low_risk,834
SYNTH_LOW_RISK_41890,1729,322,316258.38663198723,33196,39705.84615021969,93.13424899500515,68.44870117655285,100,75,48,145.59649122807016,low_risk,850
SYNTH_LOW_RISK_27772,1457,539,154835.96134537813,18125,13994.773477155366,98.29120221162871,100.0,20,100,7,39.40217391304348,low_risk,850
SYNTH_LOW_RISK_70233,1089,301,800628.070417664,99152,99178.49197455877,91.19112775742495,95.21880175354102,60,45,21,409.7190082644628,low_risk,850
SYNTH_LOW_RISK_79967,692,440,296870.2758469162,41348,51222.660282790435,98.82763614709827,100.0,20,100,25,102.60049627791564,low_risk,824
SYNTH_LOW_RISK_64691,1079,209,428693.61750267196,55379,52053.11026856442,96.447299496239,68.44082032272544,20,75,13,369.1933333333333,low_risk,813
SYNTH_LOW_RISK_81031,1008,244,598618.7587570328,96365,73948.82488951227,89.02426310561822,83.75629105272364,60,75,13,509.86772486772486,low_risk,822
SYNTH_LOW_RISK_17227,1251,285,324842.73869500094,44068,52252.22018329822,95.26905943960952,80.31832835865562,20,100,19,203.07834101382488,low_risk,827
SYNTH_LOW_RISK_27727,1357,415,229310.25764914497,74174,82858.79129115574,84.36656333086182,100.0,60,60,3,217.51906158357772,low_risk,850
SYNTH_LOW_RISK_64624,1762,320,159813.35853866456,41910,38263.737106449895,91.24640132357983,66.99568461678516,0,100,4,187.09821428571428,low_risk,850
SYNTH_LOW_RISK_29201,925,465,388601.76479618414,79249,102808.80004469301,90.10768176661729,100.0,20,75,23,190.96144578313252,low_risk,797
SYNTH_LOW_RISK_49891,480,389,61824.12352255837,10661,9909.567604208823,90.58837310198821,100.0,60,60,23,29.36914600550964,low_risk,820
SYNTH_LOW_RISK_15782,712,253,239032.46446782633,58231,53344.361886084414,80.33260118195558,100.0,80,90,21,272.10747663551405,low_risk,850
SYNTH_LOW_RISK_73133,1134,410,733742.2872712762,94416,74094.54498023768,83.18825559448901,100.0,100,90,7,271.3103448275862,low_risk,850
SYNTH_LOW_RISK_83822,1312,184,494126.3103762146,83800,89142.39771011916,87.69399590663525,51.94019375953796,0,90,46,741.5929203539823,low_risk,790
SYNTH_LOW_RISK_99099,745,526,440594.4980473484,45298,43463.37333555899,89.82916807123911,100.0,40,15,13,93.20576131687243,low_risk,850
SYNTH_LOW_RISK_65677,907,482,380222.0089857963,38179,28048.902422968167,87.12084606151751,100.0,40,45,15,88.17321016166282,low_risk,819
SYNTH_LOW_RISK_64823,821,226,467602.16580466117,54936,58733.81703519529,95.3845773031329,93.62901318119509,20,30,29,301.84615384615387,low_risk,797
SYNTH_LOW_RISK_83294,1184,287,446091.3658346093,67009,74285.16531904452,85.38895863241592,84.81818077905811,60,60,39,300.4887892376682,low_risk,818
SYNTH_LOW_RISK_43361,1265,233,409056.03852146794,70428,65183.436087747745,81.94997602844983,66.16988620919957,100,75,29,429.4390243902439,low_risk,850
SYNTH_LOW_RISK_38602,1810,240,365834.61942343216,65316,54615.85558630087,96.8533648532589,50.79415041330963,20,90,17,463.2340425531915,low_risk,776
SYNTH_LOW_RISK_46224,1320,514,91294.16087015197,35431,26316.518272870522,99.38593518808894,100.0,40,15,24,80.1606334841629,low_risk,850
SYNTH_LOW_RISK_15439,1405,308,143118.16543529573,26531,19886.857537542714,96.97279105757347,78.20407293253143,40,60,48,114.35775862068965,low_risk,850
SYNTH_LOW_RISK_56857,1608,524,231807.78492332716,27630,24195.403724428594,96.65499631224255,100.0,60,30,40,63.37155963302752,low_risk,850
SYNTH_LOW_RISK_74946,1134,535,446320.33422535245,49071,53364.04943268217,100.0,100.0,60,100,35,103.74418604651163,low_risk,850
SYNTH_LOW_RISK_68712,486,157,558148.3840899017,58758,42652.681420776484,90.17613596757705,100.0,60,60,18,448.53435114503816,low_risk,850
SYNTH_LOW_RISK_75095,1134,190,261177.58755096642,65731,74662.33299765574,95.56314418668504,60.123801002667015,80,100,1,513.5234375,low_risk,850
SYNTH_LOW_RISK_36832,1492,404,163000.66946296825,78056,89743.11340142213,95.7973954121434,94.96581603258362,60,30,20,241.65944272445822,low_risk,850
SYNTH_LOW_RISK_71627,951,551,833870.9280219289,99822,75444.90698905481,82.77988646045564,100.0,100,30,7,200.04408817635272,low_risk,850
SYNTH_LOW_RISK_23428,880,368,657418.345878481,79122,79941.8173702638,74.69158443917651,100.0,100,45,48,247.25625,low_risk,850
SYNTH_LOW_RISK_40254,1104,509,338745.4240486901,38854,36145.867308643894,93.17242198542152,100.0,40,100,9,86.53452115812918,low_risk,793
SYNTH_LOW_RISK_94530,966,551,174591.6790697526,18329,15681.890175950459,92.89153606103561,100.0,0,30,46,36.7314629258517,low_risk,848
SYNTH_LOW_RISK_17531,1286,238,224467.2115104227,72812,83793.87365836813,85.98942161371006,66.57360858391883,100,45,24,433.4047619047619,low_risk,850
SYNTH_LOW_RISK_17896,1349,208,273121.43551898946,33252,24580.533282798562,80.63821686274724,56.733909955153926,20,60,45,246.3111111111111,low_risk,845
SYNTH_LOW_RISK_75428,1616,371,30571.570942505587,12643,12026.982359832773,95.44589294491703,82.13159798423702,60,60,14,44.67491166077738,low_risk,850
SYNTH_LOW_RISK_25352,1701,357,253097.66866114803,28745,29800.909429508705,97.72112766712176,75.96351149285006,40,75,17,108.88257575757575,low_risk,850
SYNTH_LOW_RISK_78673,937,504,227186.3201929797,81707,99453.11859499272,93.38762100583995,100.0,20,60,39,180.36865342163355,low_risk,805
SYNTH_LOW_RISK_28133,1474,255,276842.313236916,84071,71737.4485871248,93.61309439139826,63.34325492931775,20,100,41,480.4057142857143,low_risk,850
SYNTH_LOW_RISK_16852,1044,214,485411.7448443076,49961,41080.925638687084,89.4026196839321,71.96813266937394,40,75,10,318.2229299363057,low_risk,827
SYNTH_LOW_RISK_11898,372,416,848060.8147493878,85939,67412.86480538934,80.85029666144864,100.0,40,90,1,217.01767676767676,low_risk,795
SYNTH_LOW_RISK_77065,1379,182,235116.02129597028,43380,34588.611085706376,94.4340641842688,49.325168255142565,100,90,27,405.42056074766356,low_risk,838
SYNTH_LOW_RISK_10587,495,479,172374.2007691853,36819,29611.936858598972,100.0,100.0,60,100,21,81.45796460176992,low_risk,850
SYNTH_LOW_RISK_11089,520,375,160690.2471417814,35556,24970.63321255517,97.36431014579792,100.0,80,75,47,102.46685878962536,low_risk,799
SYNTH_LOW_RISK_58781,818,344,448033.6001560309,48547,40762.87150139576,91.87169840759192,100.0,100,30,9,161.82333333333332,low_risk,850
SYNTH_LOW_RISK_56738,1209,372,200694.7193417158,20449,15672.775247757898,94.69642290669195,100.0,20,45,20,66.82679738562092,low_risk,842
SYNTH_LOW_RISK_66307,645,478,208002.21772839673,71709,80472.67065464173,100.0,100.0,80,60,36,161.87133182844244,low_risk,822
SYNTH_LOW_RISK_73095,1300,456,206924.62357502477,59416,44406.41904443816,92.86161145735215,100.0,60,75,29,154.3272727272727,low_risk,850
SYNTH_LOW_RISK_56403,1450,547,551499.5830882058,61631,45533.730760538645,82.70268797876324,100.0,80,45,32,131.69017094017093,low_risk,850
SYNTH_LOW_RISK_71944,1453,186,757442.9235153864,99388,83730.42253290115,90.08686704830593,48.24776607119654,40,45,7,928.8598130841121,low_risk,817
SYNTH_LOW_RISK_38933,712,166,230475.93604383827,97445,76398.28891164983,100.0,79.10120501713996,60,60,42,767.2834645669292,low_risk,850
SYNTH_LOW_RISK_68557,805,236,455894.48982213077,52604,63459.086193096286,84.71045114426252,98.89309573673157,40,30,33,273.9791666666667,low_risk,843
SYNTH_LOW_RISK_91554,966,446,149782.03788244218,26724,33609.5993898597,85.35756154498414,100.0,40,100,45,67.8274111675127,low_risk,850
SYNTH_LOW_RISK_76262,365,287,165118.71937189155,71035,86872.86673475167,85.30162972175772,100.0,80,60,18,266.0486891385768,low_risk,828
SYNTH_LOW_RISK_71350,1712,353,185522.5842903077,34995,38062.58138658131,92.0644261026313,74.90723222922027,40,15,10,134.59615384615384,low_risk,759
SYNTH_LOW_RISK_81975,814,450,171698.50651900834,20058,22403.370390715434,81.38726973956719,100.0,40,60,12,49.40394088669951,low_risk,793
SYNTH_LOW_RISK_85749,783,376,370909.3902104439,44624,43189.41469994252,87.7227079720104,100.0,80,75,34,133.60479041916167,low_risk,850
SYNTH_LOW_RISK_94526,559,285,201890.1274239943,62395,44629.18778759159,100.0,100.0,60,90,18,244.68627450980392,low_risk,850
SYNTH_LOW_RISK_80188,1807,324,291724.9406660603,57498,41593.91563861936,95.95918237203128,66.2738575109846,60,75,43,255.54666666666665,low_risk,850
SYNTH_LOW_RISK_37716,812,377,282455.3540972719,87362,90177.40567030794,75.27571960645899,100.0,80,100,34,262.34834834834834,low_risk,850
SYNTH_LOW_RISK_10138,729,480,625722.3351899941,96836,87962.55161093494,88.50259590026175,100.0,40,30,28,219.5827664399093,low_risk,774
SYNTH_LOW_RISK_34842,1668,315,317555.52473349,65778,64138.802685189985,80.90740937846758,69.06648085210722,80,100,21,293.6517857142857,low_risk,850
SYNTH_LOW_RISK_46593,759,145,87478.83522644776,11207,13859.377882597502,90.8437506059615,66.02475247613062,100,90,27,107.75961538461539,low_risk,850
SYNTH_LOW_RISK_25072,446,215,259289.43742488633,28354,20910.35356568509,99.08653885646521,100.0,80,0,38,148.4502617801047,low_risk,850
SYNTH_LOW_RISK_21944,1711,517,150243.94518736075,35518,29352.89134398119,96.90212994896267,100.0,20,75,30,83.76886792452831,low_risk,850
SYNTH_LOW_RISK_88471,1691,354,716033.7202071951,87842,96197.90958649338,87.79137742997706,75.84196091662605,40,45,1,335.2748091603053,low_risk,795
SYNTH_LOW_RISK_42955,911,342,165659.55325437858,25038,28008.852984195913,94.58993795322681,100.0,20,45,45,85.45392491467577,low_risk,759
SYNTH_LOW_RISK_78487,447,246,364939.0514614666,84085,66544.68011807528,84.73505224101919,100.0,20,45,27,378.76126126126127,low_risk,850
SYNTH_LOW_RISK_90909,1097,390,219394.74919964877,38454,32331.81807002911,81.68642819568359,100.0,100,75,24,116.52727272727273,low_risk,850
SYNTH_LOW_RISK_99678,1211,187,265907.27667067596,94227,76646.47637790068,78.05721248462561,56.15743689920342,60,30,29,778.7355371900826,low_risk,850
SYNTH_LOW_RISK_42441,1542,457,184033.90031258142,78703,81754.90012038256,95.1618897729965,100.0,100,100,27,211.0,low_risk,850
SYNTH_LOW_RISK_77055,996,547,300491.0919257494,81854,75405.89405838016,83.57257679630595,100.0,100,75,44,166.03245436105476,low_risk,843
SYNTH_LOW_RISK_57377,1237,546,381745.77152788977,48342,62107.63040614351,100.0,100.0,80,90,44,100.92275574112735,low_risk,805
SYNTH_LOW_RISK_38172,1537,211,289841.24285652384,57591,51970.54043038729,88.20644961789517,51.57148049502564,20,75,22,453.4724409448819,low_risk,850
SYNTH_LOW_RISK_86240,1232,564,258421.19817442395,41881,53842.560959654045,84.83660807031066,100.0,80,60,27,84.26760563380282,low_risk,805
SYNTH_LOW_RISK_30963,539,350,256223.15011219884,40116,49244.51891230654,84.4523311581223,100.0,0,75,9,124.97196261682242,low_risk,833
SYNTH_LOW_RISK_43870,524,458,244896.54442714984,98839,109017.97087943682,96.00056982755366,100.0,60,30,4,229.85813953488372,low_risk,815
SYNTH_LOW_RISK_75344,1492,573,104315.76722952932,21908,27395.767910801384,91.27426126324137,100.0,80,100,24,44.52845528455285,low_risk,850
SYNTH_LOW_RISK_47853,923,308,805260.5474817241,90360,89347.97034225761,86.43964363891212,100.0,80,100,45,350.2325581395349,low_risk,850
SYNTH_LOW_RISK_68627,1623,295,295943.27871297713,34272,39045.18358903307,99.96813780121629,66.71427416625986,80,100,34,165.56521739130434,low_risk,850
SYNTH_LOW_RISK_32601,1661,297,199618.3994940675,24122,22341.587145407437,94.24899899100483,65.69196953969139,80,90,28,117.09708737864078,low_risk,845
SYNTH_LOW_RISK_22297,1643,360,318076.48874591436,34532,27359.1585049544,80.54592659619853,78.74445065593709,60,30,27,127.8962962962963,low_risk,772
SYNTH_LOW_RISK_63521,910,277,950846.0538276758,95663,89138.20022360838,100.0,100.0,40,15,27,419.57456140350877,low_risk,850
SYNTH_LOW_RISK_74789,1470,503,555347.5618887439,62160,54047.327235367185,85.93615526976394,100.0,40,30,29,146.95035460992906,low_risk,850
SYNTH_LOW_RISK_92534,1073,413,29120.341377274555,12871,13921.601569400185,89.41404677439657,100.0,60,100,27,36.25633802816901,low_risk,850
SYNTH_LOW_RISK_16614,1200,542,217865.82814879014,92190,80575.67481749559,95.44682307586886,100.0,20,75,45,193.27044025157232,low_risk,819
SYNTH_LOW_RISK_87116,945,501,258735.19804285295,47044,57847.213722640285,100.0,100.0,0,60,22,104.54222222222222,low_risk,847
SYNTH_LOW_RISK_13273,1208,203,65970.1913972861,30466,26243.771535614393,90.16934981982264,60.6137787771681,80,100,9,222.37956204379563,low_risk,850
SYNTH_LOW_RISK_30583,1341,311,272183.13285386265,79087,60022.36649635468,83.46676344764944,81.95886381376776,40,75,6,332.29831932773106,low_risk,850
SYNTH_LOW_RISK_45060,1389,553,380064.5533151479,42934,48116.21610250973,100.0,100.0,20,30,12,90.0083857442348,low_risk,850
SYNTH_LOW_RISK_60445,539,237,393562.62028764986,44998,34131.36977511346,94.82871367462846,100.0,60,45,24,216.33653846153845,low_risk,850
SYNTH_LOW_RISK_26835,1703,531,563749.803543999,80533,71668.71651581043,89.24486330716543,100.0,40,90,22,183.86529680365297,low_risk,850
SYNTH_LOW_RISK_26523,1247,480,669068.9567949919,95988,86430.47286276828,86.76113911143545,100.0,100,30,28,232.98058252427185,low_risk,833
SYNTH_LOW_RISK_32931,1210,234,45973.86538630958,10887,9425.871680320648,97.38362078345276,68.95082013270425,60,75,10,64.80357142857143,low_risk,824
SYNTH_LOW_RISK_42088,725,195,285095.1825847505,35991,38813.424394485504,73.79944653771648,90.94229743408361,60,90,24,230.71153846153845,low_risk,850
SYNTH_LOW_RISK_44510,950,317,91891.50248810429,14117,13699.304580027581,89.9506868864767,100.0,60,75,32,53.27169811320755,low_risk,815
SYNTH_LOW_RISK_11813,924,475,390691.4091183894,55800,51566.61473907639,88.54014998666668,100.0,20,45,45,131.2941176470588,low_risk,850
SYNTH_LOW_RISK_70686,648,503,444412.4004716352,52051,52448.45292863183,98.93332386436835,100.0,100,90,27,111.22008547008546,low_risk,850
SYNTH_LOW_RISK_98056,1279,417,162454.3930097371,76395,57012.60309034881,94.93752914231729,100.0,60,45,34,220.15850144092218,low_risk,842
SYNTH_LOW_RISK_43458,660,338,684207.8014361149,83788,80143.00333125528,86.96957663310779,100.0,60,90,6,277.44370860927154,low_risk,850
SYNTH_LOW_RISK_17352,659,504,346252.5568155329,95947,101141.53176853043,92.30067317400044,100.0,100,75,7,205.01495726495727,low_risk,850
SYNTH_LOW_RISK_12187,1239,476,334127.226760887,83539,84291.13468389434,79.81469294404518,100.0,40,100,23,204.2518337408313,low_risk,850
SYNTH_LOW_RISK_42854,641,195,317573.50951973966,36489,44343.56987350974,94.74968876547123,100.0,100,90,3,228.05625,low_risk,843
SYNTH_LOW_RISK_51605,778,454,311979.33649452147,37518,32943.50564161245,99.39281138486744,100.0,40,45,33,91.0631067961165,low_risk,850
SYNTH_LOW_RISK_13453,1802,406,776915.8184880507,80269,85870.19422286317,84.57066372815932,81.32042552765692,60,60,9,260.6136363636364,low_risk,817
SYNTH_LOW_RISK_81088,1563,473,566287.4279260981,94925,119593.76163572521,93.29138281542143,100.0,60,45,39,244.6520618556701,low_risk,850
